2024-07-02 21:07:718 INFO  OpenAccountPage :37 - Select customer[[ChromeDriver: chrome on windows (62f4b795ec6ec74501caaefed77db5d6)] -> id: userSelect]
2024-07-02 21:07:855 INFO  OpenAccountPage :43 - Select currency[[ChromeDriver: chrome on windows (62f4b795ec6ec74501caaefed77db5d6)] -> id: currency]
2024-07-02 21:07:947 INFO  OpenAccountPage :49 - click on button [[ChromeDriver: chrome on windows (62f4b795ec6ec74501caaefed77db5d6)] -> xpath: //button[contains(text(),'Process')]]
2024-07-02 21:07:908 INFO  ManageBrowser :30 - Chrome Browser Launch.....
2024-07-02 21:07:860 INFO  CustomerLoginPage :18 - click on customer[[ChromeDriver: chrome on windows (00a152e59861175797df7ba6c9820858)] -> xpath: //button[contains(text(),'Customer Login')]]
2024-07-02 21:07:413 INFO  CustomerLoginPage :28 - search customer[[ChromeDriver: chrome on windows (00a152e59861175797df7ba6c9820858)] -> xpath: //select[@id='userSelect']]
2024-07-02 21:07:518 INFO  CustomerLoginPage :38 - click on login [[ChromeDriver: chrome on windows (00a152e59861175797df7ba6c9820858)] -> xpath: //button[contains(text(),'Login')]]
2024-07-02 21:07:999 INFO  AccountPage :34 - click on deoposit[[ChromeDriver: chrome on windows (00a152e59861175797df7ba6c9820858)] -> xpath: //div[@ng-hide='noAccount']//button[2]]
2024-07-02 21:07:495 INFO  AccountPage :40 - click on deoposit[[ChromeDriver: chrome on windows (00a152e59861175797df7ba6c9820858)] -> xpath: //div[@ng-hide='noAccount']//button[2]]
2024-07-02 21:07:607 INFO  AccountPage :46 - click on deoposit[[ChromeDriver: chrome on windows (00a152e59861175797df7ba6c9820858)] -> xpath: //div[@ng-hide='noAccount']//button[2]]
2024-07-02 21:07:644 INFO  AccountPage :84 - verify transaction [[ChromeDriver: chrome on windows (00a152e59861175797df7ba6c9820858)] -> xpath: //span[contains(text(),'Deposit Successful')]]
2024-07-02 21:07:589 INFO  ManageBrowser :30 - Chrome Browser Launch.....
2024-07-02 21:07:484 INFO  BankManagerLoginPage :18 - click on login [[ChromeDriver: chrome on windows (a24e00b1dfbc69b675ed6a1c4d66c8e0)] -> xpath: //button[contains(text(),'Bank Manager Login')]]
2024-07-02 21:07:30 INFO  OpenAccountPage :31 - click on open account[[ChromeDriver: chrome on windows (a24e00b1dfbc69b675ed6a1c4d66c8e0)] -> xpath: //body/div[1]/div[1]/div[2]/div[1]/div[1]/button[2]]
